央视,#genre#
CCTV-1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-2,http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV-/88888910/224/3221225621/index.m3u8
CCTV-5,http://111.40.196.27/PLTV/88888888/224/3221225745/index.m3u8
CCTV-6,http://111.40.196.31/PLTV/88888888/224/3221225561/index.m3u8
CCTV-7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8
CCTV-9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8
CCTV-10,http://39.134.19.57/PLTV/88888888/224/3221225823/index.m3u8
CCTV-11,http://39.134.65.7:80/wh7f454c46tw1736895264_839369804/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8?icpid=88888888&RTS=1554599509&from=1&hms_devid=29
CCTV-12,http://39.135.135.70:80/wh7f454c46tw1829513060_732052264/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8?icpid=88888888&RTS=1554599602&from=1&hms_devid=686
CCTV-13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14,http://111.40.196.30/PLTV/88888888/224/3221225573/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-17,http://39.134.19.28/PLTV/88888888/224/3221225859/index.m3u8
卫视,#genre#
北京卫视,http://111.40.196.25/PLTV/88888888/224/3221225540/index.m3u8
湖南卫视,http://111.40.196.28/PLTV/88888888/224/3221225519/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://111.40.196.25/PLTV/88888888/224/3221225510/index.m3u8
安徽卫视,http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8
江苏卫视,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8
东方卫视,http://111.40.196.30/PLTV/88888888/224/3221225509/index.m3u8
江西卫视,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8
天津卫视,http://111.40.196.32/PLTV/88888888/224/3221225597/index.m3u8
山东卫视,http://111.40.196.27/PLTV/88888888/224/3221225526/index.m3u8
湖北卫视,http://111.40.196.27/PLTV/88888888/224/3221225654/index.m3u8
广东卫视,http://111.40.196.32/PLTV/88888888/224/3221225533/index.m3u8
辽宁卫视,http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8
广西卫视,http://111.40.196.27/PLTV/88888888/224/3221225601/index.m3u8
河北卫视,http://111.40.196.27/PLTV/88888888/224/3221225627/index.m3u8
甘肃卫视,http://111.40.196.28/PLTV/88888888/224/3221225639/index.m3u8
宁夏卫视,http://111.40.196.29/PLTV/88888888/224/3221225641/index.m3u8
云南卫视,http://111.40.196.29/PLTV/88888888/224/3221225644/index.m3u8
重庆卫视,http://111.40.196.31/PLTV/88888888/224/3221225514/index.m3u8
动画,#genre#
ANIMAX,http://iptv.tvfix.org/hls/animax.m3u8
卡酷动画,http://111.40.196.25/PLTV/88888888/224/3221225580/index.m3u8
卡酷动画,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221227566/index.m3u8
卡酷动画,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240051_1/playlist.m3u8?CONTENTID=00000110240051_1
卡酷动画,http://111.11.121.184:6610/030000001001/kakukaton/1.m3u8?channel-id=ystenlive
卡酷动画,http://ott.js.chinamobile.com/PLTV/3/224/3221227566/index.m3u8
卡酷动画,http://ott.js.chinamobile.com/PLTV/3/224/3221226305/index.m3u8
卡酷动画,http://ott.js.chinamobile.com/PLTV/3/224/3221226305/index.m3u8
哈哈炫动,http://111.11.121.184:6610/030000001001/xuandongkaton/1.m3u8?channel-id=ystenlive
哈哈炫动,http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221226388/index.m3u8
哈哈炫动,http://140.207.241.3:8080/live/program/live/hhxdhd/4000000/mnf.m3u8
金鹰卡通,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240050_1/playlist.m3u8?CONTENTID=00000110240050_1
金鹰卡通,http://111.11.121.184:6610/030000001001/jinyingkaton/1.m3u8?channel-id=ystenlive
金鹰卡通,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221226303/index.m3u8
金鹰卡通,http://183.207.249.5:80/PLTV/4/224/3221226303/index.m3u8?UserName=18851042983&MAC=8C:6D:50:4C:91:52&OTTUserToken=18851042983-8C:6D:50:4C:91:52&accountinfo=aCFqDK+lMjoMIEXZaHkjSsvhsge7WUXGRkzuZOYZnt6IsIJmP1UxBAq03L3WxNlzfOIX59FPdAado7h9s5ZUS0+wWipdMTdABhAgmyZ6eCIXsCdU7YQCD3z6P8VUSOmnUakgAT5yOTni3ffh11JW3w==:20180401125502,18851042983,112.25.7.202,20180401125502,G_JINYING,8BC8EA79A600C2137458F27D6988FF18,,0,1,-1,,2,2000007279,2,-3,2,END&GuardEncType=2&servicetype=1&icpid=88888888&from=5&hms_devid=724
金鹰卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227630/index.m3u8
优漫卡通,http://111.40.196.29/PLTV/88888888/224/3221225586/index.m3u8
优漫卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221225933/index.m3u8#http://ott.js.chinamobile.com/PLTV/3/224/3221226982/index.m3u8
优漫卡通,http://111.11.121.184:6610/030000001001/youmankaton/1.m3u8?channel-id=ystenlive
优漫卡通,http://223.110.243.171/PLTV/3/224/3221226982/index.m3u8
优漫卡通,http://183.207.249.15:80/PLTV/4/224/3221225933/index.m3u8?UserName=18851042983&MAC=8C:6D:50:4C:91:52&OTTUserToken=18851042983-8C:6D:50:4C:91:52&accountinfo=hXBFdY8JcLiQHugFbkaqLij8XACrkLt6Sn3u0QkkizaIsIJmP1UxBAq03L3WxNlz+AhLv89U3HWKFogUjLcRuU+wWipdMTdABhAgmyZ6eCKeOgrOTj6kNi+Ix6ovV9nM1vZngman2s/XYrOfrmB2EQ==:20180401124733,18851042983,112.25.7.203,20180401124733,G_YOUMAN,60135CF8EDE111C45722B872F9A14F67,,0,1,-1,,2,2000007279,2,-3,2,END&GuardEncType=2&servicetype=1&icpid=88888888&from=5&hms_devid=824
优漫卡通,http://117.148.179.183/PLTV/88888888/224/3221231574/index.m3u8
优漫卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227577/index.m3u8
优漫卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221226982/index.m3u8
优漫卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221225933/index.m3u8
嘉佳卡通,http://111.40.196.25/PLTV/88888888/224/3221225647/index.m3u8
嘉佳卡通,http://223.110.243.149/ott.js.chinamobile.com/PLTV/3/224/3221227598/index.m3u8
嘉佳卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227598/index.m3u8
嘉佳卡通,http://ott.js.chinamobile.com/PLTV/3/224/3221227009/index.m3u8
动漫秀场,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227774/index.m3u8
黑莓动漫,http://223.110.245.160/ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
黑莓动漫,http://183.207.249.15/PLTV/3/224/3221225555/index.m3u8
游戏风云,http://iptv.tvfix.org/hls/yxfyhd.m3u8
电影轮播,#genre#
CCTV4K,https://p.ggiptv.com/v/4k.m3u8
4K测试,http://ott.js.chinamobile.com/TVOD/3/224/3221228113/index.m3u8
